Item Purchased,Category,Color,Location,Size,Gender,Shipping Type,Payment Method,Discount Applied,Subscription Status,Season,Frequency of Purchases,Previous Purchases,Purchase Amount (USD),Age,Category_Item_Color,Category_Item_Size,Category_Item_Location,Prob Alta (%),Classe Prevista,Risco de Review
Jacket,Outerwear,Red,Texas,M,Male,Standard,Credit Card,0,1,Summer,Occasionally,0,68.05,49,Outerwear_Jacket_Red,Outerwear_Jacket_M,Outerwear_Jacket_Texas,64.2,Alta,Moderada
Dress,Outerwear,Black,Florida,XL,Male,Express,PayPal,0,1,Winter,Weekly,0,16.68,38,Outerwear_Dress_Black,Outerwear_Dress_XL,Outerwear_Dress_Florida,63.77,Alta,Moderada
T-shirt,Outerwear,Blue,Florida,L,Male,Standard,Debit Card,0,1,Winter,Monthly,8,158.58,27,Outerwear_T-shirt_Blue,Outerwear_T-shirt_L,Outerwear_T-shirt_Florida,71.52,Alta,Alta probabilidade
Dress,Outerwear,Green,New York,M,Female,Express,Debit Card,0,1,Summer,Occasionally,7,352.02,54,Outerwear_Dress_Green,Outerwear_Dress_M,Outerwear_Dress_New York,69.43,Alta,Moderada
Dress,Outerwear,Blue,Florida,S,Female,Standard,PayPal,1,1,Winter,Monthly,4,397.23,66,Outerwear_Dress_Blue,Outerwear_Dress_S,Outerwear_Dress_Florida,79.94,Alta,Alta probabilidade
Jeans,Footwear,Blue,New York,M,Male,Standard,Debit Card,1,0,Winter,Occasionally,4,154.92,39,Footwear_Jeans_Blue,Footwear_Jeans_M,Footwear_Jeans_New York,49.25,Não-Alta,Baixa
T-shirt,Outerwear,Yellow,Texas,S,Female,Standard,Credit Card,1,1,Winter,Weekly,8,252.87,30,Outerwear_T-shirt_Yellow,Outerwear_T-shirt_S,Outerwear_T-shirt_Texas,91.42,Alta,Alta probabilidade
T-shirt,Footwear,Black,California,M,Male,Express,PayPal,0,1,Winter,Weekly,2,216.35,34,Footwear_T-shirt_Black,Footwear_T-shirt_M,Footwear_T-shirt_California,80.1,Alta,Alta probabilidade
T-shirt,Outerwear,Yellow,Nevada,L,Male,Standard,Credit Card,1,0,Winter,Weekly,2,211.16,26,Outerwear_T-shirt_Yellow,Outerwear_T-shirt_L,Outerwear_T-shirt_Nevada,81.68,Alta,Alta probabilidade
Dress,Accessories,Black,Texas,S,Female,Standard,PayPal,0,0,Fall,Monthly,6,123.36,41,Accessories_Dress_Black,Accessories_Dress_S,Accessories_Dress_Texas,75.73,Alta,Alta probabilidade
Jacket,Clothing,Black,Florida,L,Female,Express,Debit Card,0,0,Winter,Occasionally,8,76.82,61,Clothing_Jacket_Black,Clothing_Jacket_L,Clothing_Jacket_Florida,50.52,Alta,Moderada
T-shirt,Footwear,White,Nevada,L,Male,Express,PayPal,1,0,Spring,Monthly,5,106.38,31,Footwear_T-shirt_White,Footwear_T-shirt_L,Footwear_T-shirt_Nevada,60.87,Alta,Moderada
Dress,Outerwear,Red,California,S,Male,Standard,PayPal,0,1,Summer,Weekly,1,37.11,63,Outerwear_Dress_Red,Outerwear_Dress_S,Outerwear_Dress_California,53.44,Alta,Moderada
Jeans,Accessories,White,California,S,Female,Express,Credit Card,0,1,Fall,Monthly,0,107.08,25,Accessories_Jeans_White,Accessories_Jeans_S,Accessories_Jeans_California,59.25,Alta,Moderada
Jacket,Clothing,Red,New York,XL,Male,Standard,Debit Card,1,1,Fall,Weekly,1,14.51,54,Clothing_Jacket_Red,Clothing_Jacket_XL,Clothing_Jacket_New York,50.49,Alta,Moderada
Jeans,Footwear,Yellow,Nevada,XL,Female,Standard,Credit Card,0,1,Winter,Weekly,0,317.36,36,Footwear_Jeans_Yellow,Footwear_Jeans_XL,Footwear_Jeans_Nevada,88.28,Alta,Alta probabilidade
Jacket,Clothing,Red,New York,XL,Male,Express,Debit Card,0,0,Summer,Weekly,9,165.02,45,Clothing_Jacket_Red,Clothing_Jacket_XL,Clothing_Jacket_New York,63.37,Alta,Moderada
